CID,BBB,WP:3844,GO:0000165,GO:0004896,KEGG:hsa04064,KEGG:hsa04210,KEGG:hsa04630,GO:0006281,GO:0072593,GO:0098869
19,0,0,0,1,1,1,0,0,0,0
127,0,0,0,0,1,1,0,0,0,0
177,0,0,0,0,1,1,0,0,0,0
247,0,0,0,0,1,1,0,0,0,0
264,0,0,0,0,1,1,0,0,0,0
273,0,0,0,0,0,0,0,0,0,0
284,0,0,0,0,1,1,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0
338,0,0,0,1,1,1,0,0,0,0
370,0,0,0,1,1,1,0,0,0,0
379,0,0,0,0,1,1,0,0,0,0
674,0,0,0,0,0,0,0,0,0,0
702,0,0,0,0,1,0,0,0,0,0
753,0,0,0,0,1,0,0,0,0,0
849,0,1,0,0,1,1,0,0,0,0
892,1,0,0,0,1,1,0,0,0,0
938,0,0,0,0,1,1,0,0,0,0
971,0,0,0,0,1,1,0,0,0,0
985,0,1,0,0,0,1,0,0,0,0
1024,1,0,0,0,0,1,1,0,1,1
1031,0,0,0,0,1,0,0,0,0,0
1045,0,0,0,0,0,0,0,0,0,0
1054,1,0,0,0,0,1,0,0,0,0
1060,0,0,0,1,1,1,0,0,0,0
1130,0,0,0,0,0,1,0,1,0,0
1146,0,0,0,0,0,0,0,0,0,0
1183,0,0,0,0,1,1,0,0,1,0
2969,0,0,0,0,1,1,0,0,0,0
3893,0,0,0,0,1,1,0,0,0,0
5281,0,1,0,0,0,1,0,0,0,0
5570,0,0,0,0,1,1,0,0,0,0
5780,1,0,0,0,0,1,0,0,0,0
5793,1,0,0,0,1,1,0,0,0,0
5870,0,0,0,0,1,1,0,0,0,0
5961,1,0,0,0,1,1,0,0,0,0
5991,0,0,0,0,1,1,0,0,0,0
5997,0,0,0,0,1,1,0,0,0,0
6036,1,0,0,0,1,1,0,0,0,0
6047,1,0,0,0,1,1,0,0,1,0
6054,0,0,1,0,1,1,0,0,0,0
6072,1,0,1,1,1,1,0,0,0,0
6115,0,0,0,0,0,1,0,1,0,0
6134,1,0,0,1,0,1,0,0,0,0
6202,1,0,0,0,0,0,0,1,0,0
6255,1,0,0,1,0,1,0,0,0,0
6306,0,1,0,0,1,1,0,0,0,0
6322,1,1,0,1,0,1,0,0,0,0
6341,0,0,0,0,1,0,0,0,0,0
6405,0,0,0,0,1,0,0,0,0,0
6560,0,0,0,0,1,0,0,0,0,0
7504,0,0,0,0,0,1,0,0,0,0
8021,0,0,0,0,0,0,0,0,0,0
8060,0,0,0,0,0,0,0,0,0,0
8083,0,0,0,0,0,0,0,0,0,0
8094,0,0,0,0,1,1,0,0,0,0
8158,0,0,0,0,1,1,0,0,0,0
8471,0,0,0,0,0,0,0,0,0,0
8655,0,0,0,1,1,1,0,0,1,0
8742,1,0,0,1,1,1,0,0,0,0
8768,1,0,1,0,1,1,0,0,1,0
8857,0,0,0,0,1,1,0,0,0,0
8892,0,0,0,0,1,1,0,0,0,0
9064,1,0,0,0,1,1,0,1,0,0
10393,1,0,0,0,1,1,0,0,0,0
10467,0,1,0,0,0,1,0,0,0,0
10690,1,0,0,0,0,1,0,0,0,0
10742,0,0,0,1,1,1,0,0,0,0
11005,0,0,0,0,0,1,0,0,0,0
11503,0,0,0,0,0,1,0,0,0,0
12025,0,0,0,0,1,1,0,1,0,0
13250,0,0,0,0,1,1,0,0,1,0
13849,0,0,0,0,0,1,0,0,0,0
